,Date,Region,Area,Cases,"Cases per 100,000"
352,2020-03-31,San Gabriel Valley,City of Azusa,5,10.11
353,2020-03-31,San Gabriel Valley,City of Baldwin Park,2,2.69
354,2020-03-31,Southeast,City of Bell,12,32.79
355,2020-03-31,Southeast,City of Bell Gardens,4,9.34
356,2020-03-31,Southeast,City of Bellflower,20,26.3
357,2020-03-31,San Gabriel Valley,City of Bradbury,0,0.0
358,2020-03-31,San Fernando Valley,City of Burbank,27,25.79
359,2020-03-31,Santa Monica Mountains,City of Calabasas,13,53.76
360,2020-03-31,Harbor,City of Carson,39,41.61
361,2020-03-31,Southeast,City of Cerritos,6,12.18
362,2020-03-31,Pomona Valley,City of Claremont,2,5.54
363,2020-03-31,Southeast,City of Commerce,,
364,2020-03-31,Southeast,City of Compton,16,15.85
365,2020-03-31,San Gabriel Valley,City of Covina,7,14.25
366,2020-03-31,Southeast,City of Cudahy,,
367,2020-03-31,Westside,City of Culver City,15,37.17
368,2020-03-31,San Gabriel Valley,City of Diamond Bar,3,5.25
369,2020-03-31,Southeast,City of Downey,31,27.24
370,2020-03-31,San Gabriel Valley,City of Duarte,,
371,2020-03-31,San Gabriel Valley,City of El Monte,4,3.52
372,2020-03-31,South Bay,City of El Segundo,,
373,2020-03-31,South Bay,City of Gardena,12,19.78
374,2020-03-31,Verdugos,City of Glendale,76,37.7
375,2020-03-31,San Gabriel Valley,City of Glendora,7,13.4
376,2020-03-31,Harbor,City of Hawaiian Gardens,,
377,2020-03-31,South Bay,City of Hawthorne,19,21.65
378,2020-03-31,South Bay,City of Hermosa Beach,9,45.66
379,2020-03-31,Santa Monica Mountains,City of Hidden Hills,0,0.0
380,2020-03-31,Southeast,City of Huntington Park,11,18.48
381,2020-03-31,San Gabriel Valley,City of Industry,0,0.0
382,2020-03-31,South Bay,City of Inglewood,31,26.64
383,2020-03-31,San Gabriel Valley,City of Irwindale,0,0.0
384,2020-03-31,Verdugos,City of La Canada Flintridge,8,39.04
385,2020-03-31,San Gabriel Valley,City of La Habra Heights,0,0.0
386,2020-03-31,Southeast,City of La Mirada,8,16.17
387,2020-03-31,San Gabriel Valley,City of La Puente,3,7.43
388,2020-03-31,Pomona Valley,City of La Verne,2,6.04
389,2020-03-31,Harbor,City of Lakewood,16,20.46
390,2020-03-31,Antelope Valley,City of Lancaster,31,19.79
391,2020-03-31,South Bay,City of Lawndale,6,17.97
392,2020-03-31,South Bay,City of Lomita,,
393,2020-03-31,Harbor,City of Long Beach,0,0.0
394,2020-03-31,Southeast,City of Lynwood,18,24.93
395,2020-03-31,Santa Monica Mountains,City of Malibu,,
396,2020-03-31,South Bay,City of Manhattan Beach,40,113.73
397,2020-03-31,Southeast,City of Maywood,6,21.33
398,2020-03-31,San Gabriel Valley,City of Monrovia,5,13.34
399,2020-03-31,Southeast,City of Montebello,5,7.85
400,2020-03-31,San Gabriel Valley,City of Monterey Park,7,11.45
401,2020-03-31,Southeast,City of Norwalk,21,20.03
402,2020-03-31,Antelope Valley,City of Palmdale,14,8.77
403,2020-03-31,South Bay,City of Palos Verdes Estates,14,102.44
404,2020-03-31,Southeast,City of Paramount,8,14.23
405,2020-03-31,Verdugos,City of Pasadena,0,0.0
406,2020-03-31,Southeast,City of Pico Rivera,9,14.05
407,2020-03-31,Pomona Valley,City of Pomona,10,6.44
408,2020-03-31,South Bay,City of Rancho Palos Verdes,13,30.3
409,2020-03-31,South Bay,City of Redondo Beach,39,56.26
410,2020-03-31,South Bay,City of Rolling Hills,0,0.0
411,2020-03-31,South Bay,City of Rolling Hills Estates,,
412,2020-03-31,San Gabriel Valley,City of Rosemead,2,3.63
413,2020-03-31,San Gabriel Valley,City of San Dimas,4,11.76
414,2020-03-31,San Fernando Valley,City of San Fernando,,
415,2020-03-31,San Gabriel Valley,City of San Gabriel,6,14.88
416,2020-03-31,San Gabriel Valley,City of San Marino,,
