Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
2020-04-28,Northwest County,402,145.57,6,2.27
2020-04-28,Pomona Valley,190,83.17,2,0.87
2020-04-28,San Fernando Valley,3753,226.74,106,6.83
2020-04-28,San Gabriel Valley,1522,103.06,62,4.2
2020-04-28,Santa Monica Mountains,112,144.7,5,1.46
2020-04-28,South Bay,1375,177.25,20,2.58
2020-04-28,South LA,2170,257.4,86,10.2
2020-04-28,Southeast,2230,179.83,66,5.51
2020-04-28,Verdugos,1118,329.96,64,18.88
2020-04-28,Westside,966,171.67,13,2.31
2020-04-29,Angeles Forest,2,57.72,0,0.0
2020-04-29,Antelope Valley,776,209.49,35,9.95
2020-04-29,Central LA,2774,313.28,118,12.9
2020-04-29,Eastside,716,258.98,41,12.8
2020-04-29,Harbor,1480,331.63,132,12.62
2020-04-29,Northeast LA,357,211.79,18,10.68
2020-04-29,Northwest County,431,155.81,29,10.24
2020-04-29,Pomona Valley,210,91.93,20,8.76
2020-04-29,San Fernando Valley,4043,244.26,290,17.52
2020-04-29,San Gabriel Valley,1611,109.09,89,6.03
2020-04-29,Santa Monica Mountains,115,149.09,3,4.39
2020-04-29,South Bay,1456,187.69,81,10.44
2020-04-29,South LA,2307,273.65,137,16.25
2020-04-29,Southeast,2335,188.49,105,8.66
2020-04-29,Verdugos,1177,347.38,59,17.42
2020-04-29,Westside,983,174.69,17,3.02
2020-04-30,Angeles Forest,2,57.72,0,0.0
2020-04-30,Antelope Valley,796,211.66,20,2.17
2020-04-30,Central LA,2872,322.12,98,8.84
2020-04-30,Eastside,740,265.38,24,6.4
2020-04-30,Harbor,1693,342.05,213,10.42
2020-04-30,Northeast LA,361,214.16,4,2.37
2020-04-30,Northwest County,438,158.46,7,2.65
2020-04-30,Pomona Valley,212,92.8,2,0.87
2020-04-30,San Fernando Valley,4154,251.35,111,7.09
2020-04-30,San Gabriel Valley,1664,112.68,53,3.59
2020-04-30,Santa Monica Mountains,117,152.01,2,2.92
2020-04-30,South Bay,1475,190.14,19,2.45
2020-04-30,South LA,2381,282.43,74,8.78
2020-04-30,Southeast,2440,196.89,105,8.4
2020-04-30,Verdugos,1241,366.27,64,18.89
2020-04-30,Westside,997,177.18,14,2.49
2020-05-01,Angeles Forest,2,57.72,0,0.0
2020-05-01,Antelope Valley,830,220.31,34,8.65
2020-05-01,Central LA,3006,336.82,134,14.7
2020-05-01,Eastside,779,280.65,39,15.27
2020-05-01,Harbor,1840,360.16,147,18.11
2020-05-01,Northeast LA,399,236.7,38,22.54
2020-05-01,Northwest County,457,165.28,19,6.82
2020-05-01,Pomona Valley,218,95.43,6,2.63
2020-05-01,San Fernando Valley,4420,268.03,266,16.68
2020-05-01,San Gabriel Valley,1725,116.81,61,4.13
2020-05-01,Santa Monica Mountains,119,153.47,2,1.46
2020-05-01,South Bay,1528,196.97,53,6.83
2020-05-01,South LA,2518,298.68,137,16.25
2020-05-01,Southeast,2570,206.86,130,9.97
2020-05-01,Verdugos,1286,379.55,45,13.28
2020-05-01,Westside,1038,184.46,41,7.28
2020-05-02,Angeles Forest,2,57.72,0,0.0
2020-05-02,Antelope Valley,841,222.91,11,2.6
2020-05-02,Central LA,3088,345.54,82,8.72
2020-05-02,Eastside,801,286.06,22,5.41
2020-05-02,Harbor,1940,373.6,100,13.44
2020-05-02,Northeast LA,409,242.63,10,5.93
2020-05-02,Northwest County,467,169.08,10,3.8
