Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-07-30,65 to 79,13851,1487.1337325220718,
2020-07-30,over 80,6805,2017.5755886695565,
2020-07-31,0 to 4,2545,483.9387479962654,
2020-07-31,5 to 11,5662,664.76777743077,
2020-07-31,12 to 17,7207,1001.8390913248547,
2020-07-31,18 to 29,44201,2594.834048853397,
2020-07-31,30 to 49,62091,2278.1925920490194,
2020-07-31,50 to 64,34799,1874.1504145869103,
2020-07-31,65 to 79,14008,1503.9902768875304,
2020-07-31,over 80,6860,2033.8822245809195,
2020-08-01,0 to 4,2604,495.1577602287918,
2020-08-01,5 to 11,5793,680.1483106069322,
2020-08-01,12 to 17,7336,1019.7712743109663,
2020-08-01,18 to 29,44758,2627.532914607822,
2020-08-01,30 to 49,62780,2303.472821002036,
2020-08-01,50 to 64,35204,1895.9622746377077,
2020-08-01,65 to 79,14153,1519.5584229575397,
2020-08-01,over 80,6901,2046.0380804421175,
2020-08-02,0 to 4,2622,498.58050972346086,
2020-08-02,5 to 11,5850,686.8406036683159,
2020-08-02,12 to 17,7407,1029.6409254118494,
2020-08-02,18 to 29,45080,2646.4360291014036,
2020-08-02,30 to 49,63204,2319.029884973124,
2020-08-02,50 to 64,35460,1909.7495244475945,
2020-08-02,65 to 79,14248,1529.7582427965115,
2020-08-02,over 80,6949,2060.2693263283977,
2020-08-03,0 to 4,2669,507.5176889595412,
2020-08-03,5 to 11,5939,697.2899735360902,
2020-08-03,12 to 17,7543,1048.5461725910059,
2020-08-03,18 to 29,45478,2669.800748258066,
2020-08-03,30 to 49,63741,2338.73305325726,
2020-08-03,50 to 64,35725,1924.02148225861,
2020-08-03,65 to 79,14338,1539.4212300123793,
2020-08-03,over 80,6989,2072.1286979002984,
2020-08-04,0 to 4,2708,514.9336461979908,
2020-08-04,5 to 11,6009,705.5085790500701,
2020-08-04,12 to 17,7645,1062.7251079753732,
2020-08-04,18 to 29,45890,2693.987341957928,
2020-08-04,30 to 49,64331,2360.380854537783,
2020-08-04,50 to 64,36059,1942.0095347449467,
2020-08-04,65 to 79,14457,1552.197846442249,
2020-08-04,over 80,7046,2089.028302390256,
2020-08-05,0 to 4,2758,524.4412836831827,
2020-08-05,5 to 11,6111,717.4842613704408,
2020-08-05,12 to 17,7777,1081.0743184727896,
2020-08-05,18 to 29,46445,2726.568797063325,
2020-08-05,30 to 49,65062,2387.202113412464,
2020-08-05,50 to 64,36491,1965.2755187991306,
2020-08-05,65 to 79,14644,1572.2753865463303,
2020-08-05,over 80,7128,2113.340014112652,
2020-08-06,0 to 4,2809,534.1390739180783,
2020-08-06,5 to 11,6250,733.8040637482007,
2020-08-06,12 to 17,7949,1104.9838957876052,
2020-08-06,18 to 29,47161,2768.601809415512,
2020-08-06,30 to 49,66080,2424.553743418518,
2020-08-06,50 to 64,37043,1995.0042762016988,
2020-08-06,65 to 79,14839,1593.2118588473775,
2020-08-06,over 80,7192,2132.315008627693,
2020-08-07,0 to 4,2886,548.7808356452739,9.670625556366572
2020-08-07,5 to 11,6406,752.1198131793558,13.63617608748085
2020-08-07,12 to 17,8132,1130.4225739772053,19.798877560524094
2020-08-07,18 to 29,47857,2809.460715277415,36.57761040982942
2020-08-07,30 to 49,67110,2462.3456676879046,29.937389107434424
2020-08-07,50 to 64,37593,2024.6253207151274,23.419859610097806
2020-08-07,65 to 79,15017,1612.3231002298717,16.18933810531521
2020-08-07,over 80,7259,2152.179456010626,16.75136234530932
2020-08-08,0 to 4,2946,560.1900006275041,9.371814092546256
2020-08-08,5 to 11,6536,767.3829377053183,13.242018476096103
2020-08-08,12 to 17,8270,1149.6058394972317,19.33220391692097
2020-08-08,18 to 29,48462,2844.977436608523,35.12255700936962
2020-08-08,30 to 49,67920,2492.0655304628594,28.967693408427966
2020-08-08,50 to 64,38066,2050.099418996676,23.10826160937213
2020-08-08,65 to 79,15190,1630.8975089892622,16.23535233015268
2020-08-08,over 80,7351,2179.456010625997,17.259621126962198
2020-08-09,0 to 4,2986,567.7961106156575,9.643460877837454
2020-08-09,5 to 11,6639,779.4760286758888,13.661335083952217
2020-08-09,12 to 17,8378,1164.6188299042087,19.61022225779092
2020-08-09,18 to 29,48902,2870.807779394783,35.4999483812468
2020-08-09,30 to 49,68459,2511.842081124218,28.94934781412244
2020-08-09,50 to 64,38411,2068.6798923732813,23.17365872063554
2020-08-09,65 to 79,15302,1642.9225597467869,16.227683292679767
2020-08-09,over 80,7388,2190.4259293300047,17.132556431548977
2020-08-10,0 to 4,3037,577.4939008505532,9.82003128827673
