Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
Unincorporated - Pellissier Village,San Gabriel,619.0,False,173,27948,0.21,34.57,1,162
Unincorporated - Placerita Canyon,San Fernando,460.0,False,4,870,0.07,15.57,0,0
Unincorporated - Pomona,San Gabriel,1938.0,False,61,3148,0.0,0.0,2,103
Unincorporated - Quartz Hill,Antelope Valley,12906.0,False,1251,9693,1.14,8.86,20,155
Unincorporated - Rancho Dominguez,South Bay,2661.0,False,408,15333,1.07,40.29,5,188
Unincorporated - Roosevelt,Antelope Valley,931.0,False,93,9989,0.0,0.0,0,0
Unincorporated - Rosewood,South,1286.0,False,169,13142,0.29,22.29,4,311
Unincorporated - Rosewood/East Gardena,South,1193.0,False,162,13579,0.57,47.86,6,503
Unincorporated - Rosewood/West Rancho Dominguez,South,3361.0,False,516,15353,0.5,14.93,13,387
Unincorporated - Rowland Heights,San Gabriel,51022.0,False,3708,7267,2.36,4.57,79,155
Unincorporated - San Clemente Island,South Bay,,False,0,0,0.0,0.0,0,0
Unincorporated - San Francisquito Canyon/Bouquet Canyon,San Fernando,,False,15,1748,0.0,0.0,0,0
Unincorporated - San Jose Hills,San Gabriel,20221.0,False,3533,17472,1.29,6.36,72,356
Unincorporated - San Pasqual,San Gabriel,2035.0,False,40,1966,0.07,3.57,0,0
Unincorporated - Sand Canyon,San Fernando,308.0,False,18,5844,0.0,0.0,0,0
Unincorporated - Santa Catalina Island,South Bay,267.0,False,166,62172,0.14,53.5,2,749
Unincorporated - Santa Monica Mountains,San Fernando,18621.0,True,752,4038,2.07,11.07,13,70
Unincorporated - Saugus,San Fernando,155.0,False,137,88387,0.29,184.36,0,0
Unincorporated - Saugus/Canyon Country,San Fernando,356.0,False,45,12640,0.36,100.29,1,281
Unincorporated - South Antelope Valley,Antelope Valley,455.0,False,29,6374,0.07,15.71,0,0
Unincorporated - South El Monte,San Gabriel,1795.0,False,348,19387,0.0,0.0,5,279
Unincorporated - South San Gabriel,San Gabriel,8848.0,False,947,10703,0.14,1.64,45,509
Unincorporated - South Whittier,East,59222.0,False,8511,14371,4.07,6.86,154,260
Unincorporated - Southeast Antelope Valley,Antelope Valley,781.0,False,80,10243,0.07,9.14,0,0
Unincorporated - Stevenson Ranch,San Fernando,20966.0,False,1233,5881,3.57,17.07,6,29
Unincorporated - Sun Village,Antelope Valley,6036.0,False,967,16021,0.64,10.71,14,232
Unincorporated - Sunrise Village,San Gabriel,1296.0,False,198,15278,0.21,16.57,1,77
